"Offense category","Total offenses","Drugs/Narcotics","Percentage of Offense category","Alcohol","Percentage of Offense Category","Estado"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","North Dakota"
"Embezzlement","32481","256","0.80","90","0.30","North Dakota"
"Extortion/Blackmail","20298","60","0.30","56","0.30","North Dakota"
"Fraud Offenses","843491","7774","0.90","3929","0.50","North Dakota"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","North Dakota"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","North Dakota"
"Robbery","149862","2725","1.80","2567","1.70","North Dakota"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","North Dakota"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","North Dakota"
"Animal Cruelty","20512","220","1.10","361","1.80","North Dakota"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","North Dakota"
"Gambling Offenses","2121","26","1.20","19","0.90","North Dakota"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","North Dakota"
"Prostitution Offenses","13007","527","4.10","132","1.00","North Dakota"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","North Dakota"
"Total","13166782","902482","6.90","450459","3.40","Ohio"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Ohio"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Ohio"
"Homicide Offenses","18785","894","4.80","1054","5.60","Ohio"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Ohio"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Ohio"
"Sex Offenses","204055","6819","3.30","13989","6.90","Ohio"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Ohio"
"Arson","30166","833","2.80","713","2.40","Ohio"
"Bribery","652","41","6.30","85","13.00","Ohio"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Ohio"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Ohio"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Ohio"
"Embezzlement","32481","256","0.80","90","0.30","Ohio"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Ohio"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Ohio"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Ohio"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Ohio"
"Robbery","149862","2725","1.80","2567","1.70","Ohio"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Ohio"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Ohio"
"Animal Cruelty","20512","220","1.10","361","1.80","Ohio"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Ohio"
"Gambling Offenses","2121","26","1.20","19","0.90","Ohio"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Ohio"
"Prostitution Offenses","13007","527","4.10","132","1.00","Ohio"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Ohio"
"Total","13166782","902482","6.90","450459","3.40","Oklahoma"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Oklahoma"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Oklahoma"
"Homicide Offenses","18785","894","4.80","1054","5.60","Oklahoma"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Oklahoma"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Oklahoma"
"Sex Offenses","204055","6819","3.30","13989","6.90","Oklahoma"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Oklahoma"
"Arson","30166","833","2.80","713","2.40","Oklahoma"
"Bribery","652","41","6.30","85","13.00","Oklahoma"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Oklahoma"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Oklahoma"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Oklahoma"
"Embezzlement","32481","256","0.80","90","0.30","Oklahoma"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Oklahoma"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Oklahoma"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Oklahoma"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Oklahoma"
"Robbery","149862","2725","1.80","2567","1.70","Oklahoma"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Oklahoma"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Oklahoma"
"Animal Cruelty","20512","220","1.10","361","1.80","Oklahoma"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Oklahoma"
"Gambling Offenses","2121","26","1.20","19","0.90","Oklahoma"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Oklahoma"
"Prostitution Offenses","13007","527","4.10","132","1.00","Oklahoma"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Oklahoma"
"Total","13166782","902482","6.90","450459","3.40","Oregon"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Oregon"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Oregon"
"Homicide Offenses","18785","894","4.80","1054","5.60","Oregon"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Oregon"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Oregon"
"Sex Offenses","204055","6819","3.30","13989","6.90","Oregon"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Oregon"
"Arson","30166","833","2.80","713","2.40","Oregon"
"Bribery","652","41","6.30","85","13.00","Oregon"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Oregon"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Oregon"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Oregon"
"Embezzlement","32481","256","0.80","90","0.30","Oregon"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Oregon"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Oregon"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Oregon"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Oregon"
"Robbery","149862","2725","1.80","2567","1.70","Oregon"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Oregon"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Oregon"
"Animal Cruelty","20512","220","1.10","361","1.80","Oregon"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Oregon"
"Gambling Offenses","2121","26","1.20","19","0.90","Oregon"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Oregon"
"Prostitution Offenses","13007","527","4.10","132","1.00","Oregon"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Oregon"
"Total","13166782","902482","6.90","450459","3.40","Pennsylvania"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Pennsylvania"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Pennsylvania"
"Homicide Offenses","18785","894","4.80","1054","5.60","Pennsylvania"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Pennsylvania"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Pennsylvania"
"Sex Offenses","204055","6819","3.30","13989","6.90","Pennsylvania"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Pennsylvania"
"Arson","30166","833","2.80","713","2.40","Pennsylvania"
"Bribery","652","41","6.30","85","13.00","Pennsylvania"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Pennsylvania"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Pennsylvania"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Pennsylvania"
"Embezzlement","32481","256","0.80","90","0.30","Pennsylvania"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Pennsylvania"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Pennsylvania"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Pennsylvania"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Pennsylvania"
"Robbery","149862","2725","1.80","2567","1.70","Pennsylvania"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Pennsylvania"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Pennsylvania"
"Animal Cruelty","20512","220","1.10","361","1.80","Pennsylvania"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Pennsylvania"
"Gambling Offenses","2121","26","1.20","19","0.90","Pennsylvania"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Pennsylvania"
"Prostitution Offenses","13007","527","4.10","132","1.00","Pennsylvania"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Pennsylvania"
"Total","13166782","902482","6.90","450459","3.40","Rhode Island"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Rhode Island"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Rhode Island"
"Homicide Offenses","18785","894","4.80","1054","5.60","Rhode Island"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Rhode Island"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Rhode Island"
"Sex Offenses","204055","6819","3.30","13989","6.90","Rhode Island"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Rhode Island"
"Arson","30166","833","2.80","713","2.40","Rhode Island"
"Bribery","652","41","6.30","85","13.00","Rhode Island"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Rhode Island"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Rhode Island"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Rhode Island"
"Embezzlement","32481","256","0.80","90","0.30","Rhode Island"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Rhode Island"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Rhode Island"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Rhode Island"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Rhode Island"
"Robbery","149862","2725","1.80","2567","1.70","Rhode Island"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Rhode Island"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Rhode Island"
"Animal Cruelty","20512","220","1.10","361","1.80","Rhode Island"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Rhode Island"
"Gambling Offenses","2121","26","1.20","19","0.90","Rhode Island"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Rhode Island"
"Prostitution Offenses","13007","527","4.10","132","1.00","Rhode Island"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Rhode Island"
"Total","13166782","902482","6.90","450459","3.40","South Carolina"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","South Carolina"
"Assault Offenses","3187575","78839","2.50","292031","9.20","South Carolina"
"Homicide Offenses","18785","894","4.80","1054","5.60","South Carolina"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","South Carolina"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","South Carolina"
"Sex Offenses","204055","6819","3.30","13989","6.90","South Carolina"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","South Carolina"
"Arson","30166","833","2.80","713","2.40","South Carolina"
"Bribery","652","41","6.30","85","13.00","South Carolina"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","South Carolina"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","South Carolina"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","South Carolina"
"Embezzlement","32481","256","0.80","90","0.30","South Carolina"
"Extortion/Blackmail","20298","60","0.30","56","0.30","South Carolina"
"Fraud Offenses","843491","7774","0.90","3929","0.50","South Carolina"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","South Carolina"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","South Carolina"
"Robbery","149862","2725","1.80","2567","1.70","South Carolina"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","South Carolina"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","South Carolina"
"Animal Cruelty","20512","220","1.10","361","1.80","South Carolina"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","South Carolina"
"Gambling Offenses","2121","26","1.20","19","0.90","South Carolina"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","South Carolina"
"Prostitution Offenses","13007","527","4.10","132","1.00","South Carolina"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","South Carolina"
"Total","13166782","902482","6.90","450459","3.40","South Dakota"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","South Dakota"
"Assault Offenses","3187575","78839","2.50","292031","9.20","South Dakota"
"Homicide Offenses","18785","894","4.80","1054","5.60","South Dakota"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","South Dakota"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","South Dakota"
"Sex Offenses","204055","6819","3.30","13989","6.90","South Dakota"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","South Dakota"
"Arson","30166","833","2.80","713","2.40","South Dakota"
"Bribery","652","41","6.30","85","13.00","South Dakota"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","South Dakota"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","South Dakota"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","South Dakota"
"Embezzlement","32481","256","0.80","90","0.30","South Dakota"
"Extortion/Blackmail","20298","60","0.30","56","0.30","South Dakota"
"Fraud Offenses","843491","7774","0.90","3929","0.50","South Dakota"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","South Dakota"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","South Dakota"
"Robbery","149862","2725","1.80","2567","1.70","South Dakota"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","South Dakota"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","South Dakota"
"Animal Cruelty","20512","220","1.10","361","1.80","South Dakota"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","South Dakota"
"Gambling Offenses","2121","26","1.20","19","0.90","South Dakota"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","South Dakota"
"Prostitution Offenses","13007","527","4.10","132","1.00","South Dakota"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","South Dakota"
"Total","13166782","902482","6.90","450459","3.40","Tennessee"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Tennessee"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Tennessee"
"Homicide Offenses","18785","894","4.80","1054","5.60","Tennessee"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Tennessee"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Tennessee"
"Sex Offenses","204055","6819","3.30","13989","6.90","Tennessee"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Tennessee"
"Arson","30166","833","2.80","713","2.40","Tennessee"
"Bribery","652","41","6.30","85","13.00","Tennessee"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Tennessee"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Tennessee"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Tennessee"
"Embezzlement","32481","256","0.80","90","0.30","Tennessee"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Tennessee"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Tennessee"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Tennessee"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Tennessee"
"Robbery","149862","2725","1.80","2567","1.70","Tennessee"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Tennessee"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Tennessee"
"Animal Cruelty","20512","220","1.10","361","1.80","Tennessee"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Tennessee"
"Gambling Offenses","2121","26","1.20","19","0.90","Tennessee"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Tennessee"
"Prostitution Offenses","13007","527","4.10","132","1.00","Tennessee"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Tennessee"
"Total","13166782","902482","6.90","450459","3.40","Texas"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Texas"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Texas"
"Homicide Offenses","18785","894","4.80","1054","5.60","Texas"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Texas"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Texas"
"Sex Offenses","204055","6819","3.30","13989","6.90","Texas"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Texas"
"Arson","30166","833","2.80","713","2.40","Texas"
"Bribery","652","41","6.30","85","13.00","Texas"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Texas"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Texas"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Texas"
"Embezzlement","32481","256","0.80","90","0.30","Texas"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Texas"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Texas"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Texas"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Texas"
"Robbery","149862","2725","1.80","2567","1.70","Texas"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Texas"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Texas"
"Animal Cruelty","20512","220","1.10","361","1.80","Texas"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Texas"
"Gambling Offenses","2121","26","1.20","19","0.90","Texas"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Texas"
"Prostitution Offenses","13007","527","4.10","132","1.00","Texas"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Texas"
"Total","13166782","902482","6.90","450459","3.40","Utah"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Utah"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Utah"
"Homicide Offenses","18785","894","4.80","1054","5.60","Utah"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Utah"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Utah"
"Sex Offenses","204055","6819","3.30","13989","6.90","Utah"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Utah"
"Arson","30166","833","2.80","713","2.40","Utah"
"Bribery","652","41","6.30","85","13.00","Utah"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Utah"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Utah"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Utah"
"Embezzlement","32481","256","0.80","90","0.30","Utah"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Utah"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Utah"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Utah"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Utah"
"Robbery","149862","2725","1.80","2567","1.70","Utah"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Utah"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Utah"
"Animal Cruelty","20512","220","1.10","361","1.80","Utah"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Utah"
"Gambling Offenses","2121","26","1.20","19","0.90","Utah"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Utah"
"Prostitution Offenses","13007","527","4.10","132","1.00","Utah"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Utah"
"Total","13166782","902482","6.90","450459","3.40","Vermont"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Vermont"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Vermont"
"Homicide Offenses","18785","894","4.80","1054","5.60","Vermont"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Vermont"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Vermont"
"Sex Offenses","204055","6819","3.30","13989","6.90","Vermont"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Vermont"
"Arson","30166","833","2.80","713","2.40","Vermont"
"Bribery","652","41","6.30","85","13.00","Vermont"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Vermont"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Vermont"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Vermont"
"Embezzlement","32481","256","0.80","90","0.30","Vermont"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Vermont"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Vermont"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Vermont"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Vermont"
"Robbery","149862","2725","1.80","2567","1.70","Vermont"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Vermont"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Vermont"
"Animal Cruelty","20512","220","1.10","361","1.80","Vermont"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Vermont"
"Gambling Offenses","2121","26","1.20","19","0.90","Vermont"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Vermont"
"Prostitution Offenses","13007","527","4.10","132","1.00","Vermont"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Vermont"
"Total","13166782","902482","6.90","450459","3.40","Virginia"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Virginia"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Virginia"
"Homicide Offenses","18785","894","4.80","1054","5.60","Virginia"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Virginia"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Virginia"
"Sex Offenses","204055","6819","3.30","13989","6.90","Virginia"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Virginia"
"Arson","30166","833","2.80","713","2.40","Virginia"
"Bribery","652","41","6.30","85","13.00","Virginia"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Virginia"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Virginia"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Virginia"
"Embezzlement","32481","256","0.80","90","0.30","Virginia"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Virginia"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Virginia"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Virginia"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Virginia"
"Robbery","149862","2725","1.80","2567","1.70","Virginia"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Virginia"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Virginia"
"Animal Cruelty","20512","220","1.10","361","1.80","Virginia"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Virginia"
"Gambling Offenses","2121","26","1.20","19","0.90","Virginia"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Virginia"
"Prostitution Offenses","13007","527","4.10","132","1.00","Virginia"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Virginia"
"Total","13166782","902482","6.90","450459","3.40","Washington"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Washington"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Washington"
"Homicide Offenses","18785","894","4.80","1054","5.60","Washington"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Washington"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Washington"
"Sex Offenses","204055","6819","3.30","13989","6.90","Washington"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Washington"
"Arson","30166","833","2.80","713","2.40","Washington"
"Bribery","652","41","6.30","85","13.00","Washington"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Washington"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Washington"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Washington"
"Embezzlement","32481","256","0.80","90","0.30","Washington"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Washington"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Washington"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Washington"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Washington"
"Robbery","149862","2725","1.80","2567","1.70","Washington"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Washington"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Washington"
"Animal Cruelty","20512","220","1.10","361","1.80","Washington"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Washington"
"Gambling Offenses","2121","26","1.20","19","0.90","Washington"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Washington"
"Prostitution Offenses","13007","527","4.10","132","1.00","Washington"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Washington"
"Total","13166782","902482","6.90","450459","3.40","West Virginia"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","West Virginia"
"Assault Offenses","3187575","78839","2.50","292031","9.20","West Virginia"
"Homicide Offenses","18785","894","4.80","1054","5.60","West Virginia"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","West Virginia"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","West Virginia"
"Sex Offenses","204055","6819","3.30","13989","6.90","West Virginia"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","West Virginia"
"Arson","30166","833","2.80","713","2.40","West Virginia"
"Bribery","652","41","6.30","85","13.00","West Virginia"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","West Virginia"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","West Virginia"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","West Virginia"
"Embezzlement","32481","256","0.80","90","0.30","West Virginia"
"Extortion/Blackmail","20298","60","0.30","56","0.30","West Virginia"
"Fraud Offenses","843491","7774","0.90","3929","0.50","West Virginia"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","West Virginia"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","West Virginia"
"Robbery","149862","2725","1.80","2567","1.70","West Virginia"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","West Virginia"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","West Virginia"
"Animal Cruelty","20512","220","1.10","361","1.80","West Virginia"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","West Virginia"
"Gambling Offenses","2121","26","1.20","19","0.90","West Virginia"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","West Virginia"
"Prostitution Offenses","13007","527","4.10","132","1.00","West Virginia"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","West Virginia"
"Total","13166782","902482","6.90","450459","3.40","Wisconsin"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Wisconsin"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Wisconsin"
"Homicide Offenses","18785","894","4.80","1054","5.60","Wisconsin"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Wisconsin"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Wisconsin"
"Sex Offenses","204055","6819","3.30","13989","6.90","Wisconsin"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Wisconsin"
"Arson","30166","833","2.80","713","2.40","Wisconsin"
"Bribery","652","41","6.30","85","13.00","Wisconsin"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Wisconsin"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Wisconsin"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Wisconsin"
"Embezzlement","32481","256","0.80","90","0.30","Wisconsin"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Wisconsin"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Wisconsin"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Wisconsin"
