"Offense Category","Incidents","Offenses","Victims","Known offenders","estado"
"Counterfeiting/Forgery","147573","147573","161913","109595","Arizona"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Arizona"
"Embezzlement","32481","32481","34284","32730","Arizona"
"Extortion/Blackmail","20298","20298","20897","9451","Arizona"
"Fraud Offenses","843491","843491","915256","428944","Arizona"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Arizona"
"Motor Vehicle Theft","721157","721157","753345","346525","Arizona"
"Robbery","149862","149862","197705","195201","Arizona"
"Stolen Property Offenses","115445","115445","135134","134677","Arizona"
"Crimes Against Society","1860969","1860969","1861007","2179366","Arizona"
"Animal Cruelty","20512","20512","20513","18864","Arizona"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Arizona"
"Gambling Offenses","2121","2121","2121","3215","Arizona"
"Pornography/Obscene Material","39871","39871","39872","32925","Arizona"
"Prostitution Offenses","13007","13007","13007","14945","Arizona"
"Weapon Law Violations","325998","325998","326022","353629","Arizona"
"Total","11195659","13166782","13834692","9873871","Arkansas"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Arkansas"
"Assault Offenses","2737786","3187575","3187575","2918676","Arkansas"
"Homicide Offenses","17189","18785","18786","19274","Arkansas"
"Human Trafficking Offenses","2234","2691","2691","2428","Arkansas"
"Kidnapping/Abduction","39098","43083","43083","43012","Arkansas"
"Sex Offenses","192147","204055","204055","186462","Arkansas"
"Crimes Against Property","7849624","7849624","8517495","4524653","Arkansas"
"Arson","30166","30166","36637","21249","Arkansas"
"Bribery","652","652","695","656","Arkansas"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Arkansas"
"Counterfeiting/Forgery","147573","147573","161913","109595","Arkansas"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Arkansas"
"Embezzlement","32481","32481","34284","32730","Arkansas"
"Extortion/Blackmail","20298","20298","20897","9451","Arkansas"
"Fraud Offenses","843491","843491","915256","428944","Arkansas"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Arkansas"
"Motor Vehicle Theft","721157","721157","753345","346525","Arkansas"
"Robbery","149862","149862","197705","195201","Arkansas"
"Stolen Property Offenses","115445","115445","135134","134677","Arkansas"
"Crimes Against Society","1860969","1860969","1861007","2179366","Arkansas"
"Animal Cruelty","20512","20512","20513","18864","Arkansas"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Arkansas"
"Gambling Offenses","2121","2121","2121","3215","Arkansas"
"Pornography/Obscene Material","39871","39871","39872","32925","Arkansas"
"Prostitution Offenses","13007","13007","13007","14945","Arkansas"
"Weapon Law Violations","325998","325998","326022","353629","Arkansas"
"Total","11195659","13166782","13834692","9873871","California"
"Crimes Against Persons","2988454","3456189","3456190","3169852","California"
"Assault Offenses","2737786","3187575","3187575","2918676","California"
"Homicide Offenses","17189","18785","18786","19274","California"
"Human Trafficking Offenses","2234","2691","2691","2428","California"
"Kidnapping/Abduction","39098","43083","43083","43012","California"
"Sex Offenses","192147","204055","204055","186462","California"
"Crimes Against Property","7849624","7849624","8517495","4524653","California"
"Arson","30166","30166","36637","21249","California"
"Bribery","652","652","695","656","California"
"Burglary/Breaking & Entering","672139","672139","781093","407560","California"
"Counterfeiting/Forgery","147573","147573","161913","109595","California"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","California"
"Embezzlement","32481","32481","34284","32730","California"
"Extortion/Blackmail","20298","20298","20897","9451","California"
"Fraud Offenses","843491","843491","915256","428944","California"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","California"
"Motor Vehicle Theft","721157","721157","753345","346525","California"
"Robbery","149862","149862","197705","195201","California"
"Stolen Property Offenses","115445","115445","135134","134677","California"
"Crimes Against Society","1860969","1860969","1861007","2179366","California"
"Animal Cruelty","20512","20512","20513","18864","California"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","California"
"Gambling Offenses","2121","2121","2121","3215","California"
"Pornography/Obscene Material","39871","39871","39872","32925","California"
"Prostitution Offenses","13007","13007","13007","14945","California"
"Weapon Law Violations","325998","325998","326022","353629","California"
"Total","11195659","13166782","13834692","9873871","Colorado"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Colorado"
"Assault Offenses","2737786","3187575","3187575","2918676","Colorado"
"Homicide Offenses","17189","18785","18786","19274","Colorado"
"Human Trafficking Offenses","2234","2691","2691","2428","Colorado"
"Kidnapping/Abduction","39098","43083","43083","43012","Colorado"
"Sex Offenses","192147","204055","204055","186462","Colorado"
"Crimes Against Property","7849624","7849624","8517495","4524653","Colorado"
"Arson","30166","30166","36637","21249","Colorado"
"Bribery","652","652","695","656","Colorado"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Colorado"
"Counterfeiting/Forgery","147573","147573","161913","109595","Colorado"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Colorado"
"Embezzlement","32481","32481","34284","32730","Colorado"
"Extortion/Blackmail","20298","20298","20897","9451","Colorado"
"Fraud Offenses","843491","843491","915256","428944","Colorado"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Colorado"
"Motor Vehicle Theft","721157","721157","753345","346525","Colorado"
"Robbery","149862","149862","197705","195201","Colorado"
"Stolen Property Offenses","115445","115445","135134","134677","Colorado"
"Crimes Against Society","1860969","1860969","1861007","2179366","Colorado"
"Animal Cruelty","20512","20512","20513","18864","Colorado"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Colorado"
"Gambling Offenses","2121","2121","2121","3215","Colorado"
"Pornography/Obscene Material","39871","39871","39872","32925","Colorado"
"Prostitution Offenses","13007","13007","13007","14945","Colorado"
"Weapon Law Violations","325998","325998","326022","353629","Colorado"
"Total","11195659","13166782","13834692","9873871","Columbia"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Columbia"
"Assault Offenses","2737786","3187575","3187575","2918676","Columbia"
"Homicide Offenses","17189","18785","18786","19274","Columbia"
"Human Trafficking Offenses","2234","2691","2691","2428","Columbia"
"Kidnapping/Abduction","39098","43083","43083","43012","Columbia"
"Sex Offenses","192147","204055","204055","186462","Columbia"
"Crimes Against Property","7849624","7849624","8517495","4524653","Columbia"
"Arson","30166","30166","36637","21249","Columbia"
"Bribery","652","652","695","656","Columbia"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Columbia"
"Counterfeiting/Forgery","147573","147573","161913","109595","Columbia"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Columbia"
"Embezzlement","32481","32481","34284","32730","Columbia"
"Extortion/Blackmail","20298","20298","20897","9451","Columbia"
