"Offense Category","Incidents","Offenses","Victims","Known offenders","estado"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Iowa"
"Counterfeiting/Forgery","147573","147573","161913","109595","Iowa"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Iowa"
"Embezzlement","32481","32481","34284","32730","Iowa"
"Extortion/Blackmail","20298","20298","20897","9451","Iowa"
"Fraud Offenses","843491","843491","915256","428944","Iowa"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Iowa"
"Motor Vehicle Theft","721157","721157","753345","346525","Iowa"
"Robbery","149862","149862","197705","195201","Iowa"
"Stolen Property Offenses","115445","115445","135134","134677","Iowa"
"Crimes Against Society","1860969","1860969","1861007","2179366","Iowa"
"Animal Cruelty","20512","20512","20513","18864","Iowa"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Iowa"
"Gambling Offenses","2121","2121","2121","3215","Iowa"
"Pornography/Obscene Material","39871","39871","39872","32925","Iowa"
"Prostitution Offenses","13007","13007","13007","14945","Iowa"
"Weapon Law Violations","325998","325998","326022","353629","Iowa"
"Total","11195659","13166782","13834692","9873871","Kansas"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Kansas"
"Assault Offenses","2737786","3187575","3187575","2918676","Kansas"
"Homicide Offenses","17189","18785","18786","19274","Kansas"
"Human Trafficking Offenses","2234","2691","2691","2428","Kansas"
"Kidnapping/Abduction","39098","43083","43083","43012","Kansas"
"Sex Offenses","192147","204055","204055","186462","Kansas"
"Crimes Against Property","7849624","7849624","8517495","4524653","Kansas"
"Arson","30166","30166","36637","21249","Kansas"
"Bribery","652","652","695","656","Kansas"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Kansas"
"Counterfeiting/Forgery","147573","147573","161913","109595","Kansas"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Kansas"
"Embezzlement","32481","32481","34284","32730","Kansas"
"Extortion/Blackmail","20298","20298","20897","9451","Kansas"
"Fraud Offenses","843491","843491","915256","428944","Kansas"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Kansas"
"Motor Vehicle Theft","721157","721157","753345","346525","Kansas"
"Robbery","149862","149862","197705","195201","Kansas"
"Stolen Property Offenses","115445","115445","135134","134677","Kansas"
"Crimes Against Society","1860969","1860969","1861007","2179366","Kansas"
"Animal Cruelty","20512","20512","20513","18864","Kansas"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Kansas"
"Gambling Offenses","2121","2121","2121","3215","Kansas"
"Pornography/Obscene Material","39871","39871","39872","32925","Kansas"
"Prostitution Offenses","13007","13007","13007","14945","Kansas"
"Weapon Law Violations","325998","325998","326022","353629","Kansas"
"Total","11195659","13166782","13834692","9873871","Kentucky"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Kentucky"
"Assault Offenses","2737786","3187575","3187575","2918676","Kentucky"
"Homicide Offenses","17189","18785","18786","19274","Kentucky"
"Human Trafficking Offenses","2234","2691","2691","2428","Kentucky"
"Kidnapping/Abduction","39098","43083","43083","43012","Kentucky"
"Sex Offenses","192147","204055","204055","186462","Kentucky"
"Crimes Against Property","7849624","7849624","8517495","4524653","Kentucky"
"Arson","30166","30166","36637","21249","Kentucky"
"Bribery","652","652","695","656","Kentucky"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Kentucky"
"Counterfeiting/Forgery","147573","147573","161913","109595","Kentucky"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Kentucky"
"Embezzlement","32481","32481","34284","32730","Kentucky"
"Extortion/Blackmail","20298","20298","20897","9451","Kentucky"
"Fraud Offenses","843491","843491","915256","428944","Kentucky"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Kentucky"
"Motor Vehicle Theft","721157","721157","753345","346525","Kentucky"
"Robbery","149862","149862","197705","195201","Kentucky"
"Stolen Property Offenses","115445","115445","135134","134677","Kentucky"
"Crimes Against Society","1860969","1860969","1861007","2179366","Kentucky"
"Animal Cruelty","20512","20512","20513","18864","Kentucky"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Kentucky"
"Gambling Offenses","2121","2121","2121","3215","Kentucky"
"Pornography/Obscene Material","39871","39871","39872","32925","Kentucky"
"Prostitution Offenses","13007","13007","13007","14945","Kentucky"
"Weapon Law Violations","325998","325998","326022","353629","Kentucky"
"Total","11195659","13166782","13834692","9873871","Louisiana"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Louisiana"
"Assault Offenses","2737786","3187575","3187575","2918676","Louisiana"
"Homicide Offenses","17189","18785","18786","19274","Louisiana"
"Human Trafficking Offenses","2234","2691","2691","2428","Louisiana"
"Kidnapping/Abduction","39098","43083","43083","43012","Louisiana"
"Sex Offenses","192147","204055","204055","186462","Louisiana"
"Crimes Against Property","7849624","7849624","8517495","4524653","Louisiana"
"Arson","30166","30166","36637","21249","Louisiana"
"Bribery","652","652","695","656","Louisiana"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Louisiana"
"Counterfeiting/Forgery","147573","147573","161913","109595","Louisiana"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Louisiana"
"Embezzlement","32481","32481","34284","32730","Louisiana"
"Extortion/Blackmail","20298","20298","20897","9451","Louisiana"
"Fraud Offenses","843491","843491","915256","428944","Louisiana"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Louisiana"
"Motor Vehicle Theft","721157","721157","753345","346525","Louisiana"
"Robbery","149862","149862","197705","195201","Louisiana"
"Stolen Property Offenses","115445","115445","135134","134677","Louisiana"
"Crimes Against Society","1860969","1860969","1861007","2179366","Louisiana"
"Animal Cruelty","20512","20512","20513","18864","Louisiana"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Louisiana"
"Gambling Offenses","2121","2121","2121","3215","Louisiana"
"Pornography/Obscene Material","39871","39871","39872","32925","Louisiana"
"Prostitution Offenses","13007","13007","13007","14945","Louisiana"
"Weapon Law Violations","325998","325998","326022","353629","Louisiana"
"Total","11195659","13166782","13834692","9873871","Maine"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Maine"
"Assault Offenses","2737786","3187575","3187575","2918676","Maine"
"Homicide Offenses","17189","18785","18786","19274","Maine"
"Human Trafficking Offenses","2234","2691","2691","2428","Maine"
"Kidnapping/Abduction","39098","43083","43083","43012","Maine"
"Sex Offenses","192147","204055","204055","186462","Maine"
"Crimes Against Property","7849624","7849624","8517495","4524653","Maine"
"Arson","30166","30166","36637","21249","Maine"
"Bribery","652","652","695","656","Maine"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Maine"
"Counterfeiting/Forgery","147573","147573","161913","109595","Maine"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Maine"
"Embezzlement","32481","32481","34284","32730","Maine"
"Extortion/Blackmail","20298","20298","20897","9451","Maine"
"Fraud Offenses","843491","843491","915256","428944","Maine"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Maine"
"Motor Vehicle Theft","721157","721157","753345","346525","Maine"
"Robbery","149862","149862","197705","195201","Maine"
"Stolen Property Offenses","115445","115445","135134","134677","Maine"
"Crimes Against Society","1860969","1860969","1861007","2179366","Maine"
"Animal Cruelty","20512","20512","20513","18864","Maine"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Maine"
"Gambling Offenses","2121","2121","2121","3215","Maine"
"Pornography/Obscene Material","39871","39871","39872","32925","Maine"
"Prostitution Offenses","13007","13007","13007","14945","Maine"
"Weapon Law Violations","325998","325998","326022","353629","Maine"
"Total","11195659","13166782","13834692","9873871","Mariana Islands"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Mariana Islands"
"Assault Offenses","2737786","3187575","3187575","2918676","Mariana Islands"
"Homicide Offenses","17189","18785","18786","19274","Mariana Islands"
"Human Trafficking Offenses","2234","2691","2691","2428","Mariana Islands"
"Kidnapping/Abduction","39098","43083","43083","43012","Mariana Islands"
"Sex Offenses","192147","204055","204055","186462","Mariana Islands"
"Crimes Against Property","7849624","7849624","8517495","4524653","Mariana Islands"
"Arson","30166","30166","36637","21249","Mariana Islands"
"Bribery","652","652","695","656","Mariana Islands"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Mariana Islands"
"Counterfeiting/Forgery","147573","147573","161913","109595","Mariana Islands"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Mariana Islands"
"Embezzlement","32481","32481","34284","32730","Mariana Islands"
"Extortion/Blackmail","20298","20298","20897","9451","Mariana Islands"
"Fraud Offenses","843491","843491","915256","428944","Mariana Islands"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Mariana Islands"
"Motor Vehicle Theft","721157","721157","753345","346525","Mariana Islands"
"Robbery","149862","149862","197705","195201","Mariana Islands"
"Stolen Property Offenses","115445","115445","135134","134677","Mariana Islands"
"Crimes Against Society","1860969","1860969","1861007","2179366","Mariana Islands"
"Animal Cruelty","20512","20512","20513","18864","Mariana Islands"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Mariana Islands"
"Gambling Offenses","2121","2121","2121","3215","Mariana Islands"
"Pornography/Obscene Material","39871","39871","39872","32925","Mariana Islands"
"Prostitution Offenses","13007","13007","13007","14945","Mariana Islands"
"Weapon Law Violations","325998","325998","326022","353629","Mariana Islands"
"Total","11195659","13166782","13834692","9873871","Maryland"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Maryland"
"Assault Offenses","2737786","3187575","3187575","2918676","Maryland"
"Homicide Offenses","17189","18785","18786","19274","Maryland"
"Human Trafficking Offenses","2234","2691","2691","2428","Maryland"
"Kidnapping/Abduction","39098","43083","43083","43012","Maryland"
"Sex Offenses","192147","204055","204055","186462","Maryland"
"Crimes Against Property","7849624","7849624","8517495","4524653","Maryland"
"Arson","30166","30166","36637","21249","Maryland"
"Bribery","652","652","695","656","Maryland"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Maryland"
"Counterfeiting/Forgery","147573","147573","161913","109595","Maryland"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Maryland"
"Embezzlement","32481","32481","34284","32730","Maryland"
"Extortion/Blackmail","20298","20298","20897","9451","Maryland"
"Fraud Offenses","843491","843491","915256","428944","Maryland"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Maryland"
"Motor Vehicle Theft","721157","721157","753345","346525","Maryland"
"Robbery","149862","149862","197705","195201","Maryland"
"Stolen Property Offenses","115445","115445","135134","134677","Maryland"
"Crimes Against Society","1860969","1860969","1861007","2179366","Maryland"
"Animal Cruelty","20512","20512","20513","18864","Maryland"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Maryland"
"Gambling Offenses","2121","2121","2121","3215","Maryland"
"Pornography/Obscene Material","39871","39871","39872","32925","Maryland"
"Prostitution Offenses","13007","13007","13007","14945","Maryland"
"Weapon Law Violations","325998","325998","326022","353629","Maryland"
"Total","11195659","13166782","13834692","9873871","Massachusetts"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Massachusetts"
"Assault Offenses","2737786","3187575","3187575","2918676","Massachusetts"
"Homicide Offenses","17189","18785","18786","19274","Massachusetts"
"Human Trafficking Offenses","2234","2691","2691","2428","Massachusetts"
"Kidnapping/Abduction","39098","43083","43083","43012","Massachusetts"
"Sex Offenses","192147","204055","204055","186462","Massachusetts"
"Crimes Against Property","7849624","7849624","8517495","4524653","Massachusetts"
"Arson","30166","30166","36637","21249","Massachusetts"
"Bribery","652","652","695","656","Massachusetts"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Massachusetts"
"Counterfeiting/Forgery","147573","147573","161913","109595","Massachusetts"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Massachusetts"
"Embezzlement","32481","32481","34284","32730","Massachusetts"
"Extortion/Blackmail","20298","20298","20897","9451","Massachusetts"
"Fraud Offenses","843491","843491","915256","428944","Massachusetts"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Massachusetts"
"Motor Vehicle Theft","721157","721157","753345","346525","Massachusetts"
"Robbery","149862","149862","197705","195201","Massachusetts"
"Stolen Property Offenses","115445","115445","135134","134677","Massachusetts"
"Crimes Against Society","1860969","1860969","1861007","2179366","Massachusetts"
"Animal Cruelty","20512","20512","20513","18864","Massachusetts"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Massachusetts"
"Gambling Offenses","2121","2121","2121","3215","Massachusetts"
"Pornography/Obscene Material","39871","39871","39872","32925","Massachusetts"
"Prostitution Offenses","13007","13007","13007","14945","Massachusetts"
"Weapon Law Violations","325998","325998","326022","353629","Massachusetts"
"Total","11195659","13166782","13834692","9873871","Michigan"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Michigan"
"Assault Offenses","2737786","3187575","3187575","2918676","Michigan"
"Homicide Offenses","17189","18785","18786","19274","Michigan"
"Human Trafficking Offenses","2234","2691","2691","2428","Michigan"
"Kidnapping/Abduction","39098","43083","43083","43012","Michigan"
"Sex Offenses","192147","204055","204055","186462","Michigan"
"Crimes Against Property","7849624","7849624","8517495","4524653","Michigan"
"Arson","30166","30166","36637","21249","Michigan"
"Bribery","652","652","695","656","Michigan"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Michigan"
"Counterfeiting/Forgery","147573","147573","161913","109595","Michigan"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Michigan"
"Embezzlement","32481","32481","34284","32730","Michigan"
"Extortion/Blackmail","20298","20298","20897","9451","Michigan"
"Fraud Offenses","843491","843491","915256","428944","Michigan"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Michigan"
"Motor Vehicle Theft","721157","721157","753345","346525","Michigan"
"Robbery","149862","149862","197705","195201","Michigan"
"Stolen Property Offenses","115445","115445","135134","134677","Michigan"
"Crimes Against Society","1860969","1860969","1861007","2179366","Michigan"
"Animal Cruelty","20512","20512","20513","18864","Michigan"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Michigan"
"Gambling Offenses","2121","2121","2121","3215","Michigan"
"Pornography/Obscene Material","39871","39871","39872","32925","Michigan"
"Prostitution Offenses","13007","13007","13007","14945","Michigan"
"Weapon Law Violations","325998","325998","326022","353629","Michigan"
"Total","11195659","13166782","13834692","9873871","Minnesota"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Minnesota"
"Assault Offenses","2737786","3187575","3187575","2918676","Minnesota"
"Homicide Offenses","17189","18785","18786","19274","Minnesota"
"Human Trafficking Offenses","2234","2691","2691","2428","Minnesota"
"Kidnapping/Abduction","39098","43083","43083","43012","Minnesota"
"Sex Offenses","192147","204055","204055","186462","Minnesota"
"Crimes Against Property","7849624","7849624","8517495","4524653","Minnesota"
"Arson","30166","30166","36637","21249","Minnesota"
"Bribery","652","652","695","656","Minnesota"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Minnesota"
"Counterfeiting/Forgery","147573","147573","161913","109595","Minnesota"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Minnesota"
"Embezzlement","32481","32481","34284","32730","Minnesota"
"Extortion/Blackmail","20298","20298","20897","9451","Minnesota"
"Fraud Offenses","843491","843491","915256","428944","Minnesota"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Minnesota"
"Motor Vehicle Theft","721157","721157","753345","346525","Minnesota"
"Robbery","149862","149862","197705","195201","Minnesota"
"Stolen Property Offenses","115445","115445","135134","134677","Minnesota"
"Crimes Against Society","1860969","1860969","1861007","2179366","Minnesota"
"Animal Cruelty","20512","20512","20513","18864","Minnesota"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Minnesota"
"Gambling Offenses","2121","2121","2121","3215","Minnesota"
"Pornography/Obscene Material","39871","39871","39872","32925","Minnesota"
"Prostitution Offenses","13007","13007","13007","14945","Minnesota"
"Weapon Law Violations","325998","325998","326022","353629","Minnesota"
"Total","11195659","13166782","13834692","9873871","Mississippi"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Mississippi"
"Assault Offenses","2737786","3187575","3187575","2918676","Mississippi"
"Homicide Offenses","17189","18785","18786","19274","Mississippi"
"Human Trafficking Offenses","2234","2691","2691","2428","Mississippi"
"Kidnapping/Abduction","39098","43083","43083","43012","Mississippi"
"Sex Offenses","192147","204055","204055","186462","Mississippi"
"Crimes Against Property","7849624","7849624","8517495","4524653","Mississippi"
"Arson","30166","30166","36637","21249","Mississippi"
"Bribery","652","652","695","656","Mississippi"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Mississippi"
"Counterfeiting/Forgery","147573","147573","161913","109595","Mississippi"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Mississippi"
"Embezzlement","32481","32481","34284","32730","Mississippi"
"Extortion/Blackmail","20298","20298","20897","9451","Mississippi"
"Fraud Offenses","843491","843491","915256","428944","Mississippi"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Mississippi"
"Motor Vehicle Theft","721157","721157","753345","346525","Mississippi"
"Robbery","149862","149862","197705","195201","Mississippi"
"Stolen Property Offenses","115445","115445","135134","134677","Mississippi"
"Crimes Against Society","1860969","1860969","1861007","2179366","Mississippi"
"Animal Cruelty","20512","20512","20513","18864","Mississippi"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Mississippi"
"Gambling Offenses","2121","2121","2121","3215","Mississippi"
"Pornography/Obscene Material","39871","39871","39872","32925","Mississippi"
"Prostitution Offenses","13007","13007","13007","14945","Mississippi"
"Weapon Law Violations","325998","325998","326022","353629","Mississippi"
"Total","11195659","13166782","13834692","9873871","Missouri"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Missouri"
"Assault Offenses","2737786","3187575","3187575","2918676","Missouri"
"Homicide Offenses","17189","18785","18786","19274","Missouri"
"Human Trafficking Offenses","2234","2691","2691","2428","Missouri"
"Kidnapping/Abduction","39098","43083","43083","43012","Missouri"
"Sex Offenses","192147","204055","204055","186462","Missouri"
"Crimes Against Property","7849624","7849624","8517495","4524653","Missouri"
"Arson","30166","30166","36637","21249","Missouri"
"Bribery","652","652","695","656","Missouri"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Missouri"
"Counterfeiting/Forgery","147573","147573","161913","109595","Missouri"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Missouri"
"Embezzlement","32481","32481","34284","32730","Missouri"
"Extortion/Blackmail","20298","20298","20897","9451","Missouri"
"Fraud Offenses","843491","843491","915256","428944","Missouri"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Missouri"
"Motor Vehicle Theft","721157","721157","753345","346525","Missouri"
"Robbery","149862","149862","197705","195201","Missouri"
"Stolen Property Offenses","115445","115445","135134","134677","Missouri"
"Crimes Against Society","1860969","1860969","1861007","2179366","Missouri"
"Animal Cruelty","20512","20512","20513","18864","Missouri"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Missouri"
"Gambling Offenses","2121","2121","2121","3215","Missouri"
"Pornography/Obscene Material","39871","39871","39872","32925","Missouri"
"Prostitution Offenses","13007","13007","13007","14945","Missouri"
"Weapon Law Violations","325998","325998","326022","353629","Missouri"
"Total","11195659","13166782","13834692","9873871","Montana"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Montana"
"Assault Offenses","2737786","3187575","3187575","2918676","Montana"
"Homicide Offenses","17189","18785","18786","19274","Montana"
"Human Trafficking Offenses","2234","2691","2691","2428","Montana"
"Kidnapping/Abduction","39098","43083","43083","43012","Montana"
"Sex Offenses","192147","204055","204055","186462","Montana"
"Crimes Against Property","7849624","7849624","8517495","4524653","Montana"
"Arson","30166","30166","36637","21249","Montana"
"Bribery","652","652","695","656","Montana"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Montana"
"Counterfeiting/Forgery","147573","147573","161913","109595","Montana"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Montana"
"Embezzlement","32481","32481","34284","32730","Montana"
"Extortion/Blackmail","20298","20298","20897","9451","Montana"
"Fraud Offenses","843491","843491","915256","428944","Montana"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Montana"
"Motor Vehicle Theft","721157","721157","753345","346525","Montana"
"Robbery","149862","149862","197705","195201","Montana"
"Stolen Property Offenses","115445","115445","135134","134677","Montana"
"Crimes Against Society","1860969","1860969","1861007","2179366","Montana"
"Animal Cruelty","20512","20512","20513","18864","Montana"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Montana"
"Gambling Offenses","2121","2121","2121","3215","Montana"
"Pornography/Obscene Material","39871","39871","39872","32925","Montana"
"Prostitution Offenses","13007","13007","13007","14945","Montana"
"Weapon Law Violations","325998","325998","326022","353629","Montana"
"Total","11195659","13166782","13834692","9873871","Nebraska"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Nebraska"
"Assault Offenses","2737786","3187575","3187575","2918676","Nebraska"
"Homicide Offenses","17189","18785","18786","19274","Nebraska"
"Human Trafficking Offenses","2234","2691","2691","2428","Nebraska"
"Kidnapping/Abduction","39098","43083","43083","43012","Nebraska"
"Sex Offenses","192147","204055","204055","186462","Nebraska"
"Crimes Against Property","7849624","7849624","8517495","4524653","Nebraska"
"Arson","30166","30166","36637","21249","Nebraska"
"Bribery","652","652","695","656","Nebraska"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Nebraska"
"Counterfeiting/Forgery","147573","147573","161913","109595","Nebraska"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Nebraska"
"Embezzlement","32481","32481","34284","32730","Nebraska"
"Extortion/Blackmail","20298","20298","20897","9451","Nebraska"
"Fraud Offenses","843491","843491","915256","428944","Nebraska"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Nebraska"
"Motor Vehicle Theft","721157","721157","753345","346525","Nebraska"
"Robbery","149862","149862","197705","195201","Nebraska"
"Stolen Property Offenses","115445","115445","135134","134677","Nebraska"
"Crimes Against Society","1860969","1860969","1861007","2179366","Nebraska"
"Animal Cruelty","20512","20512","20513","18864","Nebraska"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Nebraska"
"Gambling Offenses","2121","2121","2121","3215","Nebraska"
"Pornography/Obscene Material","39871","39871","39872","32925","Nebraska"
"Prostitution Offenses","13007","13007","13007","14945","Nebraska"
"Weapon Law Violations","325998","325998","326022","353629","Nebraska"
"Total","11195659","13166782","13834692","9873871","Nevada"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Nevada"
"Assault Offenses","2737786","3187575","3187575","2918676","Nevada"
"Homicide Offenses","17189","18785","18786","19274","Nevada"
"Human Trafficking Offenses","2234","2691","2691","2428","Nevada"
"Kidnapping/Abduction","39098","43083","43083","43012","Nevada"
"Sex Offenses","192147","204055","204055","186462","Nevada"
"Crimes Against Property","7849624","7849624","8517495","4524653","Nevada"
"Arson","30166","30166","36637","21249","Nevada"
"Bribery","652","652","695","656","Nevada"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Nevada"
"Counterfeiting/Forgery","147573","147573","161913","109595","Nevada"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Nevada"
"Embezzlement","32481","32481","34284","32730","Nevada"
"Extortion/Blackmail","20298","20298","20897","9451","Nevada"
"Fraud Offenses","843491","843491","915256","428944","Nevada"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Nevada"
"Motor Vehicle Theft","721157","721157","753345","346525","Nevada"
"Robbery","149862","149862","197705","195201","Nevada"
"Stolen Property Offenses","115445","115445","135134","134677","Nevada"
"Crimes Against Society","1860969","1860969","1861007","2179366","Nevada"
"Animal Cruelty","20512","20512","20513","18864","Nevada"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Nevada"
"Gambling Offenses","2121","2121","2121","3215","Nevada"
"Pornography/Obscene Material","39871","39871","39872","32925","Nevada"
"Prostitution Offenses","13007","13007","13007","14945","Nevada"
"Weapon Law Violations","325998","325998","326022","353629","Nevada"
"Total","11195659","13166782","13834692","9873871","New Hampshire"
"Crimes Against Persons","2988454","3456189","3456190","3169852","New Hampshire"
"Assault Offenses","2737786","3187575","3187575","2918676","New Hampshire"
"Homicide Offenses","17189","18785","18786","19274","New Hampshire"
"Human Trafficking Offenses","2234","2691","2691","2428","New Hampshire"
"Kidnapping/Abduction","39098","43083","43083","43012","New Hampshire"
"Sex Offenses","192147","204055","204055","186462","New Hampshire"
"Crimes Against Property","7849624","7849624","8517495","4524653","New Hampshire"
"Arson","30166","30166","36637","21249","New Hampshire"
"Bribery","652","652","695","656","New Hampshire"
"Burglary/Breaking & Entering","672139","672139","781093","407560","New Hampshire"
"Counterfeiting/Forgery","147573","147573","161913","109595","New Hampshire"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","New Hampshire"
"Embezzlement","32481","32481","34284","32730","New Hampshire"
"Extortion/Blackmail","20298","20298","20897","9451","New Hampshire"
"Fraud Offenses","843491","843491","915256","428944","New Hampshire"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","New Hampshire"
"Motor Vehicle Theft","721157","721157","753345","346525","New Hampshire"
"Robbery","149862","149862","197705","195201","New Hampshire"
"Stolen Property Offenses","115445","115445","135134","134677","New Hampshire"
"Crimes Against Society","1860969","1860969","1861007","2179366","New Hampshire"
"Animal Cruelty","20512","20512","20513","18864","New Hampshire"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","New Hampshire"
"Gambling Offenses","2121","2121","2121","3215","New Hampshire"
"Pornography/Obscene Material","39871","39871","39872","32925","New Hampshire"
"Prostitution Offenses","13007","13007","13007","14945","New Hampshire"
"Weapon Law Violations","325998","325998","326022","353629","New Hampshire"
"Total","11195659","13166782","13834692","9873871","New Jersey"
"Crimes Against Persons","2988454","3456189","3456190","3169852","New Jersey"
"Assault Offenses","2737786","3187575","3187575","2918676","New Jersey"
"Homicide Offenses","17189","18785","18786","19274","New Jersey"
"Human Trafficking Offenses","2234","2691","2691","2428","New Jersey"
"Kidnapping/Abduction","39098","43083","43083","43012","New Jersey"
"Sex Offenses","192147","204055","204055","186462","New Jersey"
"Crimes Against Property","7849624","7849624","8517495","4524653","New Jersey"
"Arson","30166","30166","36637","21249","New Jersey"
"Bribery","652","652","695","656","New Jersey"
"Burglary/Breaking & Entering","672139","672139","781093","407560","New Jersey"
"Counterfeiting/Forgery","147573","147573","161913","109595","New Jersey"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","New Jersey"
"Embezzlement","32481","32481","34284","32730","New Jersey"
"Extortion/Blackmail","20298","20298","20897","9451","New Jersey"
"Fraud Offenses","843491","843491","915256","428944","New Jersey"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","New Jersey"
"Motor Vehicle Theft","721157","721157","753345","346525","New Jersey"
"Robbery","149862","149862","197705","195201","New Jersey"
"Stolen Property Offenses","115445","115445","135134","134677","New Jersey"
"Crimes Against Society","1860969","1860969","1861007","2179366","New Jersey"
"Animal Cruelty","20512","20512","20513","18864","New Jersey"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","New Jersey"
"Gambling Offenses","2121","2121","2121","3215","New Jersey"
"Pornography/Obscene Material","39871","39871","39872","32925","New Jersey"
"Prostitution Offenses","13007","13007","13007","14945","New Jersey"
"Weapon Law Violations","325998","325998","326022","353629","New Jersey"
"Total","11195659","13166782","13834692","9873871","New Jersey"
"Crimes Against Persons","2988454","3456189","3456190","3169852","New Jersey"
"Assault Offenses","2737786","3187575","3187575","2918676","New Jersey"
"Homicide Offenses","17189","18785","18786","19274","New Jersey"
"Human Trafficking Offenses","2234","2691","2691","2428","New Jersey"
"Kidnapping/Abduction","39098","43083","43083","43012","New Jersey"
"Sex Offenses","192147","204055","204055","186462","New Jersey"
"Crimes Against Property","7849624","7849624","8517495","4524653","New Jersey"
"Arson","30166","30166","36637","21249","New Jersey"
"Bribery","652","652","695","656","New Jersey"
