Time of Day,Total Incidents,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses,Estado
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,americansamoa
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,americansamoa
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,americansamoa
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,americansamoa
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,americansamoa
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,americansamoa
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,americansamoa
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,americansamoa
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,americansamoa
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,americansamoa
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,americansamoa
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,americansamoa
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,americansamoa
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,americansamoa
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,americansamoa
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,americansamoa
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,americansamoa
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,americansamoa
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,arizona
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,arizona
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,arizona
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,arizona
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,arizona
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,arizona
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,arizona
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,arizona
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,arizona
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,arizona
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,arizona
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,arizona
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,arizona
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,arizona
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,arizona
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,arizona
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,arizona
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,arizona
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,arizona
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,arizona
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,arizona
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,arizona
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,arizona
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,arizona
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,arizona
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,arizona
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,arizona
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,arizona
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,arkansas
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,arkansas
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,arkansas
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,arkansas
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,arkansas
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,arkansas
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,arkansas
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,arkansas
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,arkansas
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,arkansas
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,arkansas
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,arkansas
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,arkansas
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,arkansas
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,arkansas
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,arkansas
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,arkansas
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,arkansas
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,arkansas
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,arkansas
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,arkansas
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,arkansas
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,arkansas
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,arkansas
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,arkansas
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,arkansas
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,arkansas
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,arkansas
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,california
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,california
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,california
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,california
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,california
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,california
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,california
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,california
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,california
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,california
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,california
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,california
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,california
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,california
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,california
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,california
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,california
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,california
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,california
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,california
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,california
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,california
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,california
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,california
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,california
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,california
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,california
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,california
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,colorado
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,colorado
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,colorado
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,colorado
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,colorado
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,colorado
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,colorado
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,colorado
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,colorado
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,colorado
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,colorado
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,colorado
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,colorado
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,colorado
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,colorado
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,colorado
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,colorado
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,colorado
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,colorado
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,colorado
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,colorado
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,colorado
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,colorado
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,colorado
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,colorado
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,colorado
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,colorado
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,colorado
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,coneccticut
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,coneccticut
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,coneccticut
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,coneccticut
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,coneccticut
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,coneccticut
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,coneccticut
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,coneccticut
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,coneccticut
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,coneccticut
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,coneccticut
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,coneccticut
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,coneccticut
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,coneccticut
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,coneccticut
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,coneccticut
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,coneccticut
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,coneccticut
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,coneccticut
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,coneccticut
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,coneccticut
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,coneccticut
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,coneccticut
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,coneccticut
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,coneccticut
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,coneccticut
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,coneccticut
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,coneccticut
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,delaware
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,delaware
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,delaware
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,delaware
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,delaware
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,delaware
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,delaware
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,delaware
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,delaware
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,delaware
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,delaware
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,delaware
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,delaware
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,delaware
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,delaware
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,delaware
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,delaware
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,delaware
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,delaware
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,delaware
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,delaware
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,delaware
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,delaware
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,delaware
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,delaware
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,delaware
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,delaware
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,delaware
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,districticof columbia
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,districticof columbia
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,districticof columbia
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,districticof columbia
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,districticof columbia
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,districticof columbia
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,districticof columbia
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,districticof columbia
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,districticof columbia
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,districticof columbia
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,districticof columbia
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,districticof columbia
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,districticof columbia
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,districticof columbia
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,districticof columbia
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,districticof columbia
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,districticof columbia
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,districticof columbia
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,districticof columbia
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,districticof columbia
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,districticof columbia
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,districticof columbia
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,districticof columbia
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,districticof columbia
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,districticof columbia
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,districticof columbia
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,districticof columbia
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,districticof columbia
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,florida
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,florida
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,florida
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,florida
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,florida
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,florida
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,florida
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,florida
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,florida
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,florida
